Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Hour_of_day,Is_night,Is_rush_hour,Is_weekend
Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,7,1,Unknown,Not a Pedestrian,Changing lane to the right,22,1,0,0
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,2-5yrs,No defect,Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,No distancing,8,0,1,0
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Moving Backward,Not a Pedestrian,Moving Backward,17,0,1,1
Tuesday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Not a Pedestrian,No priority to vehicle,18,0,1,0
Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Governmental,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,8,0,1,0
Monday,18-30,Male,Junior high school,Employee,2-5yr,Ridden horse,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No priority to pedestrian,10,0,0,0
Wednesday,31-50,Male,High school,Employee,2-5yr,Automobile,Governmental,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,Changing lane to the right,17,0,1,0
Thursday,31-50,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,21,1,0,0
Monday,Unknown,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,No defect,Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving carelessly,8,0,1,0
Tuesday,Unknown,Female,Unknown,Unknown,Unknown,Public (13?45 seats),Owner,Unknown,Unknown,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,9,0,1,0
Monday,18-30,Male,Above high school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,17,0,1,0
Monday,31-50,Male,High school,Owner,2-5yr,Pick up upto 10Q,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,9,0,1,0
Thursday,18-30,Male,Junior high school,Owner,5-10yr,Other,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Unknown,2,1,Going straight,Not a Pedestrian,Changing lane to the right,12,0,0,0
Wednesday,Under 18,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,15,0,0,0
Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Not a Pedestrian,Moving Backward,21,1,0,1
Wednesday,18-30,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Not a Pedestrian,Driving carelessly,9,0,1,0
Sunday,31-50,Male,Unknown,Employee,5-10yr,Stationwagen,Owner,Unknown,7,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Changing lane to the left,14,0,0,1
Friday,31-50,Male,Above high school,Employee,5-10yr,Other,Owner,5-10yrs,Unknown,Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Unknown or other,No distancing,17,0,1,0
Monday,Unknown,Female,High school,Employee,1-2yr,Ridden horse,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,8,0,1,0
Tuesday,31-50,Male,Writing & reading,Employee,Below 1yr,Pick up upto 10Q,Owner,Unknown,Unknown,Residential areas,other,Tangent road with flat terrain,Y Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,No priority to vehicle,20,1,0,0
Friday,18-30,Male,Junior high school,Employee,Unknown,Taxi,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,10,0,0,0
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the left,9,0,1,1
